Route Name,Route Link,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price,Seat Availability
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0132,Ordinary Non AC Seater 2+3,14:15,06h 30m,20:45,3.3,493.9,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GND0105,Ordinary Non AC Seater 2+3,14:25,06h 20m,20:45,3.3,459.8,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - LNI0411,Ordinary Non AC Seater 2+3,14:30,05h 20m,19:50,3.3,459.8,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - AWD0350,Shatabdi AC Seater 2+2,14:31,05h 29m,20:00,3.3,648,37 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - LNI0779,Ordinary Non AC Seater 2+3,15:01,04h 37m,19:38,3.3,459.8,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0109,Janrath AC Seater 2+2,15:02,04h 43m,19:45,4.0,648,36 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GND0081,Ordinary Non AC Seater 2+3,15:30,06h 00m,21:30,3.3,468.6,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RPD0021,Ordinary Non AC Seater 2+3,15:50,06h 00m,21:50,3.3,459.8,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLP0032,Ordinary Non AC Seater 2+3,16:01,05h 59m,22:00,3.3,468.6,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0085,Ordinary Non AC Seater 2+3,16:06,08h 19m,00:25,3.3,488.4,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0109,Janrath AC Seater 2+2,16:31,05h 29m,22:00,2.9,648,36 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BRT0036,Ordinary Non AC Seater 2+3,17:00,07h 10m,00:10,3.3,493.9,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - SRG0229,Ordinary Non AC Seater 2+3,17:00,05h 35m,22:35,3.3,459.8,52 Seats available
